Нація,Унікальні юніти і будівлі (1-5),Унікальна здібність (1-5),Місце спавну (1-3),Суб'єктивний досвід (1-5)
Австрія,"5,5,5,5,5","3,4,2,5,3","2,3,3,5,3","5,4,3,5,3"
Америка,"5,5","5,5","3,3","5,4"
Англія,"5,5","5,5",3,"4,5"
Аравія,5,"2,4",1,"4,5"
Асирія,3,"1,2",2,4
Ацтеки,4,5,1,4
Бразилія,"2,4","4,3",1,2
Вавилон,"3,5",5,3,3
Венеція,1,1,3,1
Візантія,"2,3",3,2,4
Греція,5,4,2,4
Гуни,5,4,1,2
Данія,4,5,3,"5,4"
Ефіопія,"5,4","2,3,4","2,3","4,4"
Єгипет,"4,5",4,2,"3,4"
Зулуси,5,5,2,5
Індія,"3,4"," 3,4","1,2","3,4"
Індонезія,"3,2,2","2,1,2,1","2,3,3,4","4,4,4"
Інки,4,5,3,5
Ірокези,"4,3",4,1,3
Іспанія,"2,4",5,2,4
Карфаген,"2,3",4,2,"4,5"
Кельти,5,5,3,5
Китай,5,5,2,4
Корея,"2,3","5,5","3,3","4,5"
Майя,5,5,2,4
Марокко,4,3,"2,2",3
Монголи,5,"3,4","1,2","3,5"
Нідерланди,5,4,2,4
Німеччина,"5,3,4","4,4","1,2","4,4"
Персія,5,5,3,5
Полінезія,"3,4","4,4","2,3","3,5"
Польща,5,5,2,5
Португалія,4,3,3,3
Рим,5,5,3,4
Росія,4,5,2,4
Сіам,5,5,3,5
Сонгай,5,"4,5",2,3
Турція,5,4,2,4
Франція,2,1,2,2
Швеція,5,5,1,4
Шошони,"5,4",4,2,4
Японія,"5,5","4,5","2,2",4
